,Date,Name,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Discharged/Migrated,Deceased
0,2020-03-10,NCT of Delhi,4,0.0,,
1,2020-03-10,Haryana,0,14.0,,
2,2020-03-10,Kerala,9,0.0,,
3,2020-03-10,Rajasthan,0,2.0,,
4,2020-03-10,Telengana,1,0.0,,
5,2020-03-10,Uttar Pradesh,9,0.0,,
6,2020-03-10,Union Territory of Ladakh,2,0.0,,
7,2020-03-10,Tamil Nadu,1,0.0,,
8,2020-03-10,Jammu and Kashmir,1,0.0,,
9,2020-03-10,Punjab,1,0.0,,
10,2020-03-10,Karnataka,1,0.0,,
11,2020-03-10,Maharashtra,2,0.0,,
12,2020-03-10,NCT of Delhi,5,0.0,,
13,2020-03-10,Haryana,0,14.0,,
14,2020-03-10,Kerala,17,0.0,,
15,2020-03-10,Rajasthan,1,2.0,,
16,2020-03-10,Telengana,1,0.0,,
17,2020-03-10,Uttar Pradesh,9,0.0,,
18,2020-03-10,Union Territory of Ladakh,2,0.0,,
19,2020-03-10,Tamil Nadu,1,0.0,,
20,2020-03-10,Jammu and Kashmir,1,0.0,,
21,2020-03-10,Punjab,1,0.0,,
22,2020-03-10,Karnataka,4,0.0,,
23,2020-03-10,Maharashtra,2,0.0,,
24,2020-03-11,NCT of Delhi,6,0.0,0.0,
25,2020-03-11,Haryana,0,14.0,0.0,
26,2020-03-11,Kerala,17,0.0,3.0,
27,2020-03-11,Rajasthan,1,2.0,0.0,
28,2020-03-11,Telengana,1,0.0,0.0,
29,2020-03-11,Uttar Pradesh,10,1.0,0.0,
30,2020-03-11,Union Territory of Ladakh,3,0.0,0.0,
31,2020-03-11,Tamil Nadu,1,0.0,0.0,
32,2020-03-11,Jammu and Kashmir,1,0.0,0.0,
33,2020-03-11,Punjab,1,0.0,0.0,
34,2020-03-11,Karnataka,4,0.0,0.0,
35,2020-03-11,Maharashtra,11,0.0,0.0,
36,2020-03-11,Andhra Pradesh,1,0.0,0.0,
37,2020-03-12,NCT of Delhi,6,0.0,0.0,
38,2020-03-12,Haryana,0,14.0,0.0,
39,2020-03-12,Kerala,17,0.0,3.0,
40,2020-03-12,Rajasthan,1,2.0,0.0,
41,2020-03-12,Telengana,1,0.0,0.0,
42,2020-03-12,Uttar Pradesh,10,1.0,0.0,
43,2020-03-12,Union Territory of Ladakh,3,0.0,0.0,
44,2020-03-12,Tamil Nadu,1,0.0,0.0,
45,2020-03-12,Jammu and Kashmir,1,0.0,0.0,
46,2020-03-12,Punjab,1,0.0,0.0,
47,2020-03-12,Karnataka,4,0.0,0.0,
48,2020-03-12,Maharashtra,11,0.0,0.0,
49,2020-03-12,Andhra Pradesh,1,0.0,0.0,
50,2020-03-13,NCT of Delhi,7,0.0,1.0,1.0
51,2020-03-13,Haryana,0,14.0,0.0,0.0
52,2020-03-13,Kerala,19,0.0,3.0,0.0
53,2020-03-13,Rajasthan,1,2.0,1.0,0.0
54,2020-03-13,Telengana,1,0.0,0.0,0.0
55,2020-03-13,Uttar Pradesh,10,1.0,5.0,0.0
56,2020-03-13,Union Territory of Ladakh,3,0.0,0.0,0.0
57,2020-03-13,Tamil Nadu,1,0.0,0.0,0.0
58,2020-03-13,Jammu and Kashmir,1,0.0,0.0,0.0
59,2020-03-13,Punjab,1,0.0,0.0,0.0
60,2020-03-13,Karnataka,6,0.0,0.0,1.0
61,2020-03-13,Maharashtra,14,0.0,0.0,0.0
62,2020-03-13,Andhra Pradesh,1,0.0,0.0,0.0
63,2020-03-14,NCT of Delhi,7,0.0,1.0,1.0
64,2020-03-14,Haryana,0,14.0,0.0,0.0
65,2020-03-14,Kerala,19,0.0,3.0,0.0
66,2020-03-14,Rajasthan,1,2.0,1.0,0.0
67,2020-03-14,Telengana,1,0.0,0.0,0.0
68,2020-03-14,Uttar Pradesh,11,1.0,5.0,0.0
69,2020-03-14,Union Territory of Ladakh,3,0.0,0.0,0.0
70,2020-03-14,Tamil Nadu,1,0.0,0.0,0.0
71,2020-03-14,Jammu and Kashmir,2,0.0,0.0,0.0
72,2020-03-14,Punjab,1,0.0,0.0,0.0
73,2020-03-14,Karnataka,6,0.0,0.0,1.0
74,2020-03-14,Maharashtra,14,0.0,0.0,0.0
75,2020-03-14,Andhra Pradesh,1,0.0,0.0,0.0
76,2020-03-15,Andhra Pradesh,1,0.0,0.0,0.0
77,2020-03-15,NCT of Delhi,7,0.0,2.0,1.0
78,2020-03-15,Haryana,0,14.0,0.0,0.0
79,2020-03-15,Karnataka,6,0.0,0.0,1.0
80,2020-03-15,Kerala,22,0.0,3.0,0.0
81,2020-03-15,Maharashtra,32,0.0,0.0,0.0
82,2020-03-15,Punjab,1,0.0,0.0,0.0
83,2020-03-15,Rajasthan,2,2.0,3.0,0.0
84,2020-03-15,Tamil Nadu,1,0.0,0.0,0.0
85,2020-03-15,Telengana,3,0.0,1.0,0.0
86,2020-03-15,Jammu and Kashmir,2,0.0,0.0,0.0
87,2020-03-15,Union Territory of Ladakh,3,0.0,0.0,0.0
88,2020-03-15,Uttar Pradesh,12,1.0,4.0,0.0
89,2020-03-15,Uttarakhand,1,0.0,0.0,0.0
90,2020-03-16,Andhra Pradesh,1,0.0,0.0,0.0
91,2020-03-16,NCT of Delhi,7,0.0,2.0,1.0
92,2020-03-16,Haryana,0,14.0,0.0,0.0
93,2020-03-16,Karnataka,6,0.0,0.0,1.0
94,2020-03-16,Kerala,23,0.0,3.0,0.0
95,2020-03-16,Maharashtra,32,0.0,0.0,0.0
96,2020-03-16,Odisha,1,0.0,0.0,0.0
97,2020-03-16,Punjab,1,0.0,0.0,0.0
98,2020-03-16,Rajasthan,2,2.0,3.0,0.0
99,2020-03-16,Tamil Nadu,1,0.0,0.0,0.0
100,2020-03-16,Telengana,3,0.0,1.0,0.0
101,2020-03-16,Jammu and Kashmir,3,0.0,0.0,0.0
102,2020-03-16,Union Territory of Ladakh,4,0.0,0.0,0.0
103,2020-03-16,Uttar Pradesh,12,1.0,4.0,0.0
104,2020-03-16,Uttarakhand,1,0.0,0.0,0.0
105,2020-03-17,Andhra Pradesh,1,0.0,0.0,0.0
106,2020-03-17,NCT of Delhi,8,0.0,2.0,1.0
107,2020-03-17,Haryana,1,14.0,0.0,0.0
108,2020-03-17,Karnataka,11,0.0,0.0,1.0
109,2020-03-17,Kerala,24,2.0,3.0,0.0
110,2020-03-17,Maharashtra,36,3.0,0.0,1.0
111,2020-03-17,Odisha,1,0.0,0.0,0.0
112,2020-03-17,Punjab,1,0.0,0.0,0.0
113,2020-03-17,Rajasthan,2,2.0,3.0,0.0
114,2020-03-17,Tamil Nadu,1,0.0,0.0,0.0
115,2020-03-17,Telengana,3,2.0,1.0,0.0
116,2020-03-17,Jammu and Kashmir,3,0.0,0.0,0.0
117,2020-03-17,Union Territory of Ladakh,6,0.0,0.0,0.0
118,2020-03-17,Uttar Pradesh,14,1.0,5.0,0.0
119,2020-03-17,Uttarakhand,1,0.0,0.0,0.0
120,2020-03-18,Andhra Pradesh,1,0.0,0.0,0.0
121,2020-03-18,NCT of Delhi,9,1.0,2.0,1.0
122,2020-03-18,Haryana,3,14.0,0.0,0.0
123,2020-03-18,Karnataka,11,0.0,0.0,1.0
124,2020-03-18,Kerala,25,2.0,3.0,0.0
125,2020-03-18,Maharashtra,39,3.0,0.0,1.0
126,2020-03-18,Odisha,1,0.0,0.0,0.0
127,2020-03-18,Pondicherry,1,0.0,0.0,0.0
128,2020-03-18,Punjab,1,0.0,0.0,0.0
129,2020-03-18,Rajasthan,2,2.0,3.0,0.0
130,2020-03-18,Tamil Nadu,1,0.0,0.0,0.0
131,2020-03-18,Telengana,4,2.0,1.0,0.0
132,2020-03-18,Jammu and Kashmir,3,0.0,0.0,0.0
133,2020-03-18,Union Territory of Ladakh,8,0.0,0.0,0.0
134,2020-03-18,Uttar Pradesh,15,1.0,5.0,0.0
135,2020-03-18,Uttarakhand,1,0.0,0.0,0.0
136,2020-03-18,West Bengal,1,0.0,0.0,0.0
137,2020-03-19,Andhra Pradesh,2,0.0,0.0,0.0
138,2020-03-19,Chhattisgarh,1,0.0,0.0,0.0
139,2020-03-19,NCT of Delhi,11,1.0,3.0,1.0
140,2020-03-19,Haryana,3,14.0,0.0,0.0
141,2020-03-19,Karnataka,14,0.0,0.0,1.0
142,2020-03-19,Kerala,25,2.0,3.0,0.0
143,2020-03-19,Maharashtra,44,3.0,0.0,1.0
144,2020-03-19,Odisha,1,0.0,0.0,0.0
145,2020-03-19,Pondicherry,1,0.0,0.0,0.0
146,2020-03-19,Punjab,2,0.0,0.0,1.0
147,2020-03-19,Rajasthan,5,2.0,3.0,0.0
148,2020-03-19,Tamil Nadu,2,0.0,1.0,0.0
149,2020-03-19,Telengana,4,2.0,1.0,0.0
150,2020-03-19,Chandigarh,1,0.0,0.0,0.0
151,2020-03-19,Jammu and Kashmir,4,0.0,0.0,0.0
152,2020-03-19,Union Territory of Ladakh,8,0.0,0.0,0.0
153,2020-03-19,Uttar Pradesh,18,1.0,9.0,0.0
154,2020-03-19,Uttarakhand,1,0.0,0.0,0.0
155,2020-03-19,West Bengal,1,0.0,0.0,0.0
