,id,tags,lonlat,amenity_name,shop,healthcare
0,168928764,"{'addr:housenumber': '2-14', 'addr:postcode': '40300', 'addr:street': 'Jalan Nelayan B19/B', 'amenity': 'hospital', 'email': 'cust.care@salam.com.my', 'healthcare': 'hospital', 'internet_access': 'wlan', 'is_in': 'Seksyen 19, Shah Alam, Selangor, Malaysia', 'name': 'SALAM Shah Alam Specialist Hospital', 'name:it': 'Salam Shah Alam', 'opening_hours': '24/7', 'phone': '+6 03-5543 4000', 'postal_code': '40300', 'website': 'http://www.salam.com.my'}","(101.53535479999924, 3.049146300000009)",hospital,,hospital
1,168935492,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'is_in': 'Seksyen 20, Shah Alam, Selangor, Malaysia', 'name': 'Farmasi Mesra Maju', 'postal_code': '40300'}","(101.54229989999924, 3.055305800000009)",pharmacy,,pharmacy
2,185632242,"{'amenity': 'hospital', 'name': 'Klinik Mahkota', 'opening_hours': '24/7'}","(102.81086679999912, 2.5167150000000094)",hospital,,
3,247172728,"{'name': 'Klinik Dr Daris', 'is_in': 'Pagoh, Muar, Johor, Malaysia', 'amenity': 'hospital'}","(102.76708389999935, 2.1454724000000107)",hospital,,
4,247173598,"{'amenity': 'hospital', 'healthcare': 'hospital', 'is_in': 'Bandar Maharani', 'name': 'Klinik'}","(102.56507029999938, 2.044711700000009)",hospital,,hospital
5,247369217,"{'name': 'Klinik Desa', 'is_in': 'Paya Redan, Pagoh, Muar, Johor, Malaysia', 'amenity': 'hospital'}","(102.78063879999954, 2.15783390000001)",hospital,,
6,247369226,"{'name': 'Klinik Kesihatan', 'is_in': 'Pagoh, Muar, Johor, Malaysia', 'amenity': 'hospital', 'is_in:state': 'Johor', 'is_in:country': 'Malaysia'}","(102.77481519999954, 2.15152120000001)",hospital,,
7,250447078,"{'amenity': 'hospital', 'healthcare': 'hospital', 'is_in': 'Seksyen 9, Bandar Baru Bangi, Selangor, Malaysia', 'name': 'Hospital Az-Zahrah'}","(101.75424050000014, 2.9597334999999982)",hospital,,hospital
8,250447085,"{'amenity': 'hospital', 'healthcare': 'hospital', 'is_in': 'Seksyen 9, Bandar Baru Bangi, Selangor, Malaysia', 'name': 'Hospital An-Nur'}","(101.75381320000014, 2.9599642999999984)",hospital,,hospital
9,253058116,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Hospital Serdang', 'name:zh': '沙登医院', 'wikidata': 'Q5908586', 'wikipedia': 'en:Serdang Hospital'}","(101.71998220000015, 2.9765999000000085)",hospital,,hospital
10,257670564,"{'is_in': 'Tasik Shah Alam, Shah Alam, Selangor, Malaysia', 'amenity': 'toilets', 'created_by': 'JOSM'}","(101.51593079999971, 3.0713734000000232)",toilets,,
11,270698136,"{'is_in': 'Pantai Bagan Lalang, Bagan Lalang, Sepang, Selangor', 'amenity': 'toilets'}","(101.69076319999988, 2.5993016999999896)",toilets,,
12,274829066,"{'name': 'Klinik Desa Jorak', 'is_in': 'Jorak, Bukit Pasir, Muar Johor, Malaysia', 'amenity': 'hospital'}","(102.64554089999983, 2.129117999999994)",hospital,,
13,274829617,"{'name': 'Klinik Desa', 'is_in': 'Tanjung Selabu, Bukit Pasir, Muar, Johor, Malaysia', 'amenity': 'hospital'}","(102.60353299999979, 2.143420299999995)",hospital,,
14,275055247,{'amenity': 'toilets'},"(101.58588209999971, 3.1890941999999947)",toilets,,
15,275055252,{'amenity': 'toilets'},"(101.58694559999971, 3.187821999999995)",toilets,,
16,275075147,{'amenity': 'toilets'},"(101.70284509999969, 3.240518999999997)",toilets,,
17,276691335,"{'addr:city': 'Kajang', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'Pusat Perubatan Kajang Plaza (KPMC)', 'name:en': 'Kajang Plaza Medical Centre (KPMC)'}","(101.78804979999963, 2.995605299999995)",hospital,,hospital
18,278988687,"{'is_in': 'SRA Seksyen 3, Seksyen 3, Shah Alam, Selangor, Malaysia', 'amenity': 'toilets'}","(101.5079403999997, 3.077380699999997)",toilets,,
19,283625796,"{'amenity': 'clinic', 'healthcare': 'clinic', 'is_in': 'Bandar Teknologi, Kajang, Selangor, Malaysia', 'name': 'Poliklinik Az-Zahrah'}","(101.82859139999972, 2.974547499999993)",clinic,,clinic
20,286946163,"{'amenity': 'hospital', 'name': 'Klinik Desa', 'name:en': 'Rural Clinic'}","(102.95425230000015, 2.519650599999996)",hospital,,
21,287396094,"{'amenity': 'clinic', 'is_in': 'Seksyen 26, Shah Alam, Selangor, Malaysia', 'name': 'Klinik Ahmad Shah', 'opening_hours': 'Mo-Sa'}","(101.55123560000011, 3.037483699999998)",clinic,,
22,287698528,{'amenity': 'toilets'},"(102.18297480000012, 2.447004800000001)",toilets,,
