,id,tags,lonlat,amenity_name,shop,healthcare
0,269786714,"{'name': 'Cruz Roja', 'amenity': 'hospital', 'created_by': 'Potlatch 0.10f'}","(-105.22226109999997, 20.622926499999966)",hospital,,
1,276204683,"{'name': 'IMSS', 'amenity': 'hospital', 'created_by': 'Potlatch 0.9c'}","(-105.23183280000032, 20.63835919999988)",hospital,,
2,276204725,"{'name': 'Hospital Naval', 'amenity': 'hospital'}","(-105.24482500000032, 20.662039799999878)",hospital,,
3,280308494,"{'name': 'Farmacia Guadalajara', 'amenity': 'pharmacy', 'opening_hours': '24/7'}","(-105.23371090000015, 20.604880799999876)",pharmacy,,
4,289994361,"{'amenity': 'hospital', 'name': 'Especialidades'}","(-100.34977929999985, 25.71605260000002)",hospital,,
5,290243486,"{'addr:city': 'Monterrey', 'addr:postcode': '64440', 'addr:street': 'Francisco I. Madero', 'amenity': 'hospital', 'description': 'Ave. Madero y Gonzalitos, Col. Mitras Centro, Monterrey, N.L. México. CP: 64460', 'emergency': 'yes', 'healthcare': 'hospital', 'healthcare:speciality': 'general;gynaecology;ophthalmology;paediatrics;internal;orthopaedics;dermatology;psychiatry;otolaryngology;dentist;radiology;urology;surgery;cardiology;physiotherapy;blood_check;neurology;plastic_surgery', 'name': 'Hospital Universitario ""Dr. José Eleuterio González""', 'operator': 'Universidad Autónoma de Nuevo León', 'phone': '(+52) 81 8346 1573', 'website': 'http://www.medicina.uanl.mx/hu/', 'wheelchair': 'yes'}","(-100.34959860000022, 25.68879120000001)",hospital,,hospital
6,291238619,"{'name': 'Hospital Angeles del Carmen', 'amenity': 'hospital'}","(-103.39822879999997, 20.680947500000006)",hospital,,
7,293542771,"{'amenity': 'pharmacy', 'name': 'Benavides'}","(-100.3096879000008, 25.67297660000022)",pharmacy,,
8,298721544,"{'amenity': 'hospital', 'emergency': 'yes', 'name': 'Cruz Roja'}","(-92.25826959999995, 14.90488780000008)",hospital,,
9,303803886,{'amenity': 'toilets'},"(-92.6420089, 16.735850499999962)",toilets,,
10,305473629,{'amenity': 'toilets'},"(-92.63877010000006, 16.74335679999992)",toilets,,
11,307148439,"{'name': 'Hospital de la Mujer', 'phone': '019676783834', 'amenity': 'hospital', 'website': 'http://hdelamujer.salud.gob.mx', 'addr:street': 'Insurgentes', 'addr:postcode': '29250', 'addr:housenumber': '24'}","(-92.63687939999988, 16.73290859999996)",hospital,,
