,id,tags,lonlat,amenity_name,shop,healthcare
0,26401416,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}","(-4.3218420000000055, 55.877635399999896)",pharmacy,,pharmacy
1,28213507,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy'}","(-4.266825100000011, 55.813898500000064)",pharmacy,,pharmacy
2,28841618,{'amenity': 'toilets'},"(-4.932090100000002, 55.750731300000005)",toilets,,
3,31011037,{'amenity': 'toilets'},"(-4.051321199999996, 54.837562399999975)",toilets,,
4,31159877,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-2.7858053000000065, 57.448101199999904)",toilets,,
5,31220708,"{'amenity': 'clinic', 'name': ""Doctor's surgery""}","(-3.2864991000000017, 58.302305199999985)",clinic,,
6,31370418,{'amenity': 'toilets'},"(-4.420875899999997, 55.84325639999975)",toilets,,
7,33184601,"{'addr:housenumber': '135', 'addr:postcode': 'EH5 2LY', 'addr:street': 'Boswall Parkway', 'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Crewe Medical Centre', 'source': 'survey'}","(-3.2377092000000025, 55.97521310000001)",doctors,,doctor
8,33257350,"{'addr:housenumber': '114-116', 'addr:street': 'Granton Road', 'alt_name': 'Well', 'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Well Pharmacy', 'opening_hours': 'Mo-Fr 09:00-17:30; Sa 09:30-12:30', 'operator': 'Bestway Panacea Holdings Ltd', 'phone': '+44 131 552 3569', 'source': 'survey', 'website': 'https://www.well.co.uk/', 'wheelchair': 'yes'}","(-3.2157477000000014, 55.97485290000007)",pharmacy,,
9,33257354,"{'addr:housenumber': '6A', 'addr:street': 'Montagu Terrace', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Goldenacre Pharmacy', 'opening_hours': 'Mo-Fr 09:00-18:00; Sa 09:30-12:30', 'phone': '+44 131 552 4098', 'source': 'survey'}","(-3.2083799000000015, 55.97085320000007)",pharmacy,,pharmacy
10,33526704,"{'addr:housenumber': '7', 'addr:street': 'Deanhaugh Street', 'amenity': 'pharmacy', 'brand': 'Lloyds Pharmacy', 'brand:wikidata': 'Q6662870', 'brand:wikipedia': 'en:LloydsPharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Lloyds Pharmacy', 'opening_hours': 'Mo-Fr 09:00-18:00; Sa 09:00-17:00', 'source': 'survey', 'website': 'http://www.lloydspharmacy.com/'}","(-3.2090825999999995, 55.95830720000015)",pharmacy,,pharmacy
11,33527307,{'amenity': 'toilets'},"(-3.2082825999999995, 55.95835330000015)",toilets,,
12,33579196,{'amenity': 'toilets'},"(-3.2791010999999983, 55.97949760000015)",toilets,,
13,33654858,"{'addr:city': 'Edinburgh', 'addr:country': 'GB', 'addr:housenumber': '37', 'addr:street': 'South Trinity Road', 'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'L.E. Hartley', 'source': 'survey'}","(-3.2096483999999954, 55.9744068000002)",pharmacy,,pharmacy
14,33846076,"{'addr:city': 'Edinburgh', 'addr:housenumber': '49-51', 'addr:postcode': 'EH4 3TH', 'addr:street': 'Hillhouse Road', 'amenity': 'doctors', 'name': 'Blackhall Medical Centre', 'phone': '+44 131 332 7696', 'source': 'survey', 'website': 'http://www.blackhallmedicalcentre.co.uk/'}","(-3.257677099999989, 55.96028560000022)",doctors,,
15,33846079,"{'addr:city': 'Edinburgh', 'addr:housenumber': '22', 'addr:postcode': 'EH4 2AG', 'addr:street': 'Hillhouse Road', 'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Lindsay & Gilmour', 'opening_hours': 'Mo-Fr 09:00-13:00;14:00-18:00, Sa 09:00-13:00', 'phone': '+44 131 332 3602', 'source': 'survey', 'website': 'https://lindsayandgilmour.co.uk/'}","(-3.256112999999989, 55.96023920000022)",pharmacy,,
16,35706223,{'amenity': 'toilets'},"(-3.927248399999968, 54.942217599999935)",toilets,,
17,36131819,"{'amenity': 'doctors', 'healthcare': 'doctor', 'name': 'Craigroyston Health Clinic'}","(-3.2494453000000005, 55.96731619999997)",doctors,,doctor
18,36168568,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-3.8221103999999966, 54.933565100000024)",toilets,,
19,36266833,{'amenity': 'toilets'},"(-3.797721399999996, 54.86545540000008)",toilets,,
20,47203279,{'amenity': 'toilets'},"(-3.196888900000003, 55.951635100000026)",toilets,,
21,55155472,"{'amenity': 'toilets', 'created_by': 'Potlatch 0.5d'}","(-4.312543499999999, 55.792555100000165)",toilets,,
22,149605273,{'amenity': 'toilets'},"(-4.313924200000005, 55.79814419999999)",toilets,,
23,183306601,"{'addr:housenumber': '50', 'addr:street': ""St John's Road"", 'amenity': 'dentist', 'disused:amenity': 'bank', 'name': 'Vermilion', 'old_name': 'Santander', 'website': 'https://www.vermilion.co.uk/edinburgh/'}","(-3.2804252000000047, 55.94272829999997)",dentist,,
24,192309913,{'amenity': 'toilets'},"(-3.602125100000015, 55.97722570000003)",toilets,,
25,199663322,"{'amenity': 'pharmacy', 'healthcare': 'pharmacy', 'name': 'Park Road Pharmacy', 'opening_hours': 'Mo-Fr 09:00-18:00; Fr 09:00-01:00'}","(-4.277965399999978, 55.87403470000012)",pharmacy,,pharmacy
26,208565189,"{'amenity': 'toilets', 'wheelchair': 'yes'}","(-3.3921199999999594, 56.007916199999976)",toilets,,
27,208565198,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-3.3959163999999595, 55.98996999999998)",toilets,,
28,218764085,"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'yes', 'fee': 'yes', 'wheelchair': 'designated'}","(-4.253585599999995, 55.86106280000004)",toilets,,
29,245663063,"{'source': 'guess / local knowledge', 'amenity': 'toilets'}","(-4.836320100000005, 56.624067100000126)",toilets,,
30,245959519,"{'male': 'yes', 'female': 'no', 'amenity': 'toilets'}","(-3.1140557000000113, 55.953102400000155)",toilets,,
31,246618966,"{'name': 'Bankton Dental Practice', 'amenity': 'dentist'}","(-3.505435299999987, 55.8711472)",dentist,,
32,248638860,{'amenity': 'toilets'},"(-2.6840373000000026, 55.980170600000015)",toilets,,
33,248783151,"{'addr:city': 'Coatbridge', 'addr:country': 'GB', 'addr:postcode': 'ML5 5', 'addr:street': 'Woodside Street', 'amenity': 'pharmacy', 'name': 'Boots', 'source': 'survey', 'wheelchair': 'yes'}","(-4.048037199999999, 55.85272509999998)",pharmacy,,
34,249615240,"{'amenity': 'toilets', 'created_by': 'Potlatch 0.7b'}","(-4.047706100000002, 55.80379479999982)",toilets,,
35,250759862,"{'amenity': 'toilets', 'opening_hours': 'Apr-Sep'}","(-4.035851700000013, 55.98141799999971)",toilets,,
36,251319369,"{'amenity': 'toilets', 'description': 'chargeable'}","(-3.5013587999999984, 55.871858100000075)",toilets,,
37,254161739,{'amenity': 'toilets'},"(-1.1610316999999661, 60.152816099999946)",toilets,,
38,254339224,{'amenity': 'toilets'},"(-1.2089891999999998, 60.4668871)",toilets,,
39,254349653,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-0.9976456000000006, 60.67234240000001)",toilets,,
40,254502382,{'amenity': 'toilets'},"(-0.9666317999999927, 60.68316989999993)",toilets,,
41,254610975,{'amenity': 'toilets'},"(-1.6641580999999948, 60.3048822999999)",toilets,,
42,254901580,{'amenity': 'toilets'},"(-3.6961823000000047, 55.50757309999996)",toilets,,
43,255396466,{'amenity': 'toilets'},"(-5.114473600000006, 56.81651609999997)",toilets,,
44,257732145,"{'fee': 'yes', 'note': 'not 24hr', 'amenity': 'toilets'}","(-3.974181799999974, 55.739279500000045)",toilets,,
45,259858191,"{'access': 'yes', 'amenity': 'toilets', 'fee': 'no'}","(-3.1987454000000053, 55.94833919999973)",toilets,,
46,260611400,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.241461899999977, 56.246517699999885)",toilets,,
47,260620409,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-5.106158299999976, 56.68166419999989)",toilets,,
48,265295248,"{'amenity': 'toilets', 'operator': 'Perth and Kinross Council'}","(-3.4350492999999966, 56.39122870000016)",toilets,,
49,269163036,"{'addr:housename': 'The Bay Centre', 'addr:housenumber': '12', 'addr:postcode': 'KY11 9YD', 'addr:street': 'Regents Way', 'amenity': 'pharmacy', 'dispensing': 'yes', 'name': 'Rowlands Pharmacy', 'note': '08-JUN-08 10:07:09', 'source': 'GPS', 'wheelchair': 'yes', 'wheelchair:description': 'There is a bell at the door to ring for assistance. One door opens automatically - if you need both doors open (mobility scooter user) staff are happy to assist if you ring the bell.'}","(-3.3563016000000103, 56.03707829999998)",pharmacy,,
50,270588807,"{'addr:city': 'Edinburgh', 'addr:housenumber': '4', 'addr:postcode': 'EH14 7EH', 'addr:street': 'Main Street', 'addr:suburb': 'Balerno', 'amenity': 'dentist', 'disused:amenity': 'bank', 'name': 'Artis Dental & Implant Studio', 'old_name': 'RBS', 'phone': '+44 131 466 8206', 'website': 'https://artisdental.co.uk/'}","(-3.3400041999999917, 55.884348399999936)",dentist,,
51,271932462,"{'fee': 'no', 'note': 'not 24hr', 'amenity': 'toilets'}","(-4.3829273999999945, 56.17825189999995)",toilets,,
52,275053652,{'amenity': 'toilets'},"(-4.678212199999987, 56.17050339999994)",toilets,,
53,275780125,{'amenity': 'toilets'},"(-5.4867619999999855, 56.13358300000004)",toilets,,
54,276615969,"{'addr:postcode': 'PA31 8JZ', 'addr:street': 'Blarbuie Road', 'amenity': 'hospital', 'contact:phone': '+44 1546 462000', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'Mid Argyll Community Hospital and Integrated Care Centre'}","(-5.422899799999988, 56.04034470000005)",hospital,,hospital
55,276713189,{'amenity': 'toilets'},"(-5.433019899999993, 56.03640720000005)",toilets,,
56,278467769,{'amenity': 'toilets'},"(-4.956715199999995, 54.72895610000001)",toilets,,
57,278589441,{'amenity': 'toilets'},"(-4.961957600000003, 54.80690709999999)",toilets,,
58,279554285,"{'amenity': 'toilets', 'created_by': 'Potlatch 0.10b'}","(-1.1212767000000023, 60.156275399999984)",toilets,,
59,281028561,"{'amenity': 'toilets', 'created_by': 'Potlatch 0.10'}","(-4.898937100000012, 55.78672559999998)",toilets,,
60,281888120,"{'source': 'survey', 'amenity': 'toilets', 'disabled': 'yes'}","(-5.49025220000002, 57.40074960000004)",toilets,,
61,282366835,{'amenity': 'toilets'},"(-3.056748000000027, 54.99647490000008)",toilets,,
62,283293969,{'amenity': 'toilets'},"(-5.604431100000021, 57.765602400000226)",toilets,,
63,284354321,"{'name': 'Superdrug', 'amenity': 'pharmacy'}","(-2.8736116000000016, 56.467094000000024)",pharmacy,,
64,284355417,"{'name': 'Semi-Chem', 'amenity': 'pharmacy'}","(-2.8735924000000015, 56.46692820000003)",pharmacy,,
65,284364457,"{'name': 'Lloyds Pharmacy', 'amenity': 'pharmacy'}","(-2.8580388000000014, 56.47433770000003)",pharmacy,,
