,id,tags,lonlat,amenity_name,shop,healthcare
0,26804748,"{'amenity': 'hospital', 'created_by': 'JOSM'}","(-3.1478862000000043, 53.16959549999998)",hospital,,
1,29010477,{'amenity': 'toilets'},"(-4.088445399999995, 51.56722289999994)",toilets,,
2,29010478,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.161983199999995, 51.55613289999994)",toilets,,
3,29010479,"{'amenity': 'toilets', 'changing_table': 'yes', 'opening_hours': '24/7', 'operator': 'Swansea Council', 'shower': 'outdoor', 'unisex': 'yes', 'wheelchair': 'yes'}","(-4.289959199999996, 51.56897459999994)",toilets,,
4,30807802,{'amenity': 'toilets'},"(-3.126303399999999, 52.074819199999986)",toilets,,
5,30808853,"{'name': 'Hay-on-Wye Medical Centre', 'amenity': 'doctors', 'created_by': 'Potlatch 0.5c'}","(-3.1257105999999952, 52.07012669999991)",doctors,,
6,50048976,{'amenity': 'toilets'},"(-4.227853499999988, 52.919591599999876)",toilets,,
7,50049260,"{'name': 'J.A. Davies', 'amenity': 'pharmacy'}","(-4.234394299999989, 52.91947159999986)",pharmacy,,
8,50049292,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.235502599999989, 52.916164199999855)",toilets,,
9,60562930,{'amenity': 'toilets'},"(-4.406400999999999, 52.189942999999886)",toilets,,
10,76457842,{'amenity': 'toilets'},"(-3.472072300000002, 51.86840799999999)",toilets,,
11,82730283,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.967150900000005, 51.8042829)",toilets,,
12,99775464,"{'amenity': 'pharmacy', 'wheelchair': 'yes'}","(-4.022643099999985, 51.61791660000001)",pharmacy,,
13,111153692,"{'amenity': 'toilets', 'wheelchair': 'no'}","(-4.868603600000013, 51.64359299999991)",toilets,,
14,114504653,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.148503400000011, 52.30268339999997)",toilets,,
15,124291587,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.722138800000001, 51.65915249999992)",toilets,,
16,139576449,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.202327600000001, 51.54840589999985)",toilets,,
17,206199220,{'amenity': 'toilets'},"(-4.8328813999999936, 52.01747489999991)",toilets,,
18,206199285,"{'amenity': 'toilets', 'created_by': 'JOSM'}","(-4.980480999999995, 51.99542469999993)",toilets,,
